store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
14383,11.06,1,3,0,1,0,8,Franklin Junction,7027,"Intermountain Food Stores, Inc.",8059 US-20,Nampa,83687,43.6628436,-116.5540909,0.6931471805599453,2.4898941912990393,1.3862943611198906,2.1972245773362196,4,Cigars,45
14402,3936.033339,29,5,55,56,0.9821428571428571,1,Buddies 1 Stop,7073,Buddies,1621 Ranch Rd 1431,Kingsland,78639,30.6587121,-98.4439995,3.4011973816621555,8.27818275903082,1.791759469228055,0.6931471805599453,2,Premium/Super Premium,317
14404,3.67,1,1,2,1,2,1,7 days,7076,7 Days,627 Oyster Creek Dr,Lake Jackson,77566,29.0403183,-95.4231863,0.6931471805599453,1.541159071680806,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14408,79.392822,2,1,2,2,1,14,14 Humboldt,1977,Chris Van Dyke,411 13th St S,Humboldt,50548,42.715605,-94.2266075,1.0986122886681098,4.386924893592384,0.6931471805599453,2.70805020110221,1,Premium/Super Premium,14
14415,126.34932900000001,1,1,2,2,1,1,bedfordfoodmart,7084,marutenandan inc,13 US-42,Bedford,40006,38.5924379,-85.3173779,0.6931471805599453,4.84693393246773,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14420,5.21,1,1,0,1,0,3,Fast Fuel #9,7088,Newburg Management,207 W Main St,Williamston,29697,34.6171039,-82.4818117,0.6931471805599453,1.8261608959453874,0.6931471805599453,1.3862943611198906,4,Cigars,45
14587,750.198478,5,35,7,30,0.23333333333333334,2,3 Brothers 2,7103,3 Brothers 2,413 E Main St,Boonville,27011,36.2324203,-80.7000647,1.791759469228055,6.621669901800414,3.58351893845611,1.0986122886681098,2,Premium/Super Premium,317
14612,8.21,1,3,0,1,0,25,# 90 St. Leon Properties /BP,6659,Triumph Energy,State Rd 1,West Harrison,47060,39.1943684,-84.9072179,0.6931471805599453,2.2202898502672155,1.3862943611198906,3.258096538021482,4,Cigars,45
14613,1.88,1,2,0,1,0,1,Carmelos Marketplace,7110,Carmelos Marketplace,146 King St,St. Augustine,32084,29.8917106,-81.3204798,0.6931471805599453,1.0577902941478545,1.0986122886681098,0.6931471805599453,4,Cigars,45
14617,267.302895,1,2,4,4,1,1,provision bp,7116,provison bp,2297 GA-20,McDonough,30252,33.4899977,-84.0879808,0.6931471805599453,5.592116547533633,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14620,135.99273499999998,2,2,2,2,1,4,SOUTHWEST MARKET,5904,RADAHA KRISHNA LLC,502 Elm Ave,Roanoke,24016,37.2667495,-79.9508782,1.0986122886681098,4.919927895224947,1.0986122886681098,1.6094379124341003,1,Premium/Super Premium,14
14621,170.126275,1,1,4,4,1,4,WASENA MARKET,5904,RADAHA KRISHNA LLC,1115 Main St SW,Roanoke,24015,37.2643586,-79.958986,0.6931471805599453,5.142401734274793,0.6931471805599453,1.6094379124341003,1,Premium/Super Premium,14
14625,222.44852799999998,3,2,4,5,0.8,2,ShopRite MP Gas Station,7120,Bracey's,503 Pocono Blvd,Mt Pocono,18344,41.1271653,-75.3601421,1.3862943611198906,5.409181087754272,1.0986122886681098,1.0986122886681098,1,Premium/Super Premium,14
14626,1049.223708,8,2,17,17,1,2,ShopRite DV Gas Station,7120,Bracey's,921 Drinker Turnpike,Covington Twp,18444,41.3077957,-75.5193446,2.1972245773362196,6.9567584756966205,1.0986122886681098,1.0986122886681098,2,Premium/Super Premium,317
