DATE,WPU01130212
11/1/00,114.1
12/1/00,121.7
1/1/01,121.7
2/1/01,121.7
3/1/01,124.1
4/1/01,124.1
5/1/01,119.5
6/1/01,119.5
7/1/01,147.7
8/1/01,141.8
9/1/01,140.7
10/1/01,169.7
11/1/01,170.5
12/1/01,170.5
1/1/02,170.5
2/1/02,170.5
3/1/02,135
4/1/02,135
5/1/02,135.9
6/1/02,139.3
7/1/02,139.3
8/1/02,146.8
9/1/02,141.5
10/1/02,140.7
11/1/02,142
12/1/02,142
1/1/03,142
2/1/03,142
3/1/03,141.5
4/1/03,141.5
5/1/03,141.5
6/1/03,141.5
7/1/03,140.2
8/1/03,144.7
9/1/03,141.8
10/1/03,136.5
11/1/03,135.6
12/1/03,149.4
1/1/04,149.4
2/1/04,149.4
3/1/04,149.4
4/1/04,142.5
5/1/04,142.5
6/1/04,135.6
7/1/04,128.7
8/1/04,131.3
9/1/04,124.3
10/1/04,123.3
11/1/04,123.3
12/1/04,123.3
1/1/05,134.9
2/1/05,134.1
3/1/05,134.1
4/1/05,134.1
5/1/05,132.5
6/1/05,132.5
7/1/05,132.5
8/1/05,132.5
9/1/05,136.6
10/1/05,134.1
11/1/05,134.1
12/1/05,134.1
1/1/06,134.1
2/1/06,134.1
3/1/06,134.3
4/1/06,134.3
5/1/06,134.3
6/1/06,134.3
7/1/06,135
8/1/06,142.6
9/1/06,181.2
10/1/06,192.8
11/1/06,167.9
12/1/06,167.9
1/1/07,160.5
2/1/07,202.1
3/1/07,214.6
4/1/07,215.4
5/1/07,235.6
6/1/07,214
7/1/07,227.3
8/1/07,203.8
9/1/07,186.5
10/1/07,179.8
11/1/07,176.9
12/1/07,176.9
1/1/08,176.9
2/1/08,176.9
3/1/08,178.5
4/1/08,180
5/1/08,176.9
6/1/08,182.4
7/1/08,181.6
8/1/08,190.5
9/1/08,186.4
10/1/08,178.7
11/1/08,178.3
12/1/08,171.2
1/1/09,175.9
2/1/09,172.8
3/1/09,175.9
4/1/09,177.4
5/1/09,191.2
6/1/09,185.1
7/1/09,189
8/1/09,189.9
9/1/09,182.2
10/1/09,177.7
11/1/09,182.7
12/1/09,182.7
1/1/10,182.7
2/1/10,196.3
3/1/10,190.2
4/1/10,187.7
5/1/10,189.2
6/1/10,192.4
7/1/10,193.9
8/1/10,202.8
9/1/10,191.8
10/1/10,192.5
11/1/10,191.1
12/1/10,219.8
1/1/11,230.3
2/1/11,269.2
3/1/11,269.2
4/1/11,290.3
5/1/11,290.3
6/1/11,220.2
7/1/11,201.2
8/1/11,195.9
9/1/11,200
10/1/11,197.9
11/1/11,198.7
12/1/11,181.9
1/1/12,189
2/1/12,189
3/1/12,184.9
4/1/12,189.9
5/1/12,182.6
6/1/12,182.4
7/1/12,202.3
8/1/12,193.3
9/1/12,176.9
10/1/12,183
11/1/12,182.5
12/1/12,186.8
1/1/13,187
2/1/13,197.2
3/1/13,218.5
4/1/13,205.1
5/1/13,209.7
6/1/13,206
7/1/13,205.3
8/1/13,209.5
9/1/13,204.2
10/1/13,198.3
11/1/13,199.2
12/1/13,203.2
1/1/14,204
2/1/14,205.6
3/1/14,205.7
4/1/14,203.9
5/1/14,195.2
6/1/14,193.4
7/1/14,183.7
8/1/14,181.7
9/1/14,184.2
10/1/14,181.9
11/1/14,187.1
12/1/14,205.6
1/1/15,214.4
2/1/15,208.7
3/1/15,208.9
4/1/15,202.6
5/1/15,207.1
6/1/15,201.1
7/1/15,202.4
8/1/15,206
9/1/15,202.4
10/1/15,210.8
11/1/15,211.1
12/1/15,210.9
1/1/16,209.2
2/1/16,225.3
3/1/16,213.8
4/1/16,225.7
5/1/16,243.2
6/1/16,192.5
7/1/16,175.6
8/1/16,175.6
9/1/16,171.2
10/1/16,171.2
11/1/16,171.2
12/1/16,164.6
1/1/17,167.9
2/1/17,167.5
3/1/17,166.6
4/1/17,162.3
5/1/17,162.3
6/1/17,154.6
7/1/17,148.2
8/1/17,161.5
9/1/17,189.1
10/1/17,225
11/1/17,218.8
12/1/17,218.8
1/1/18,228.4
2/1/18,226
3/1/18,203.8
4/1/18,203.2
5/1/18,197.6
6/1/18,165.3
7/1/18,179.4
8/1/18,170.6
9/1/18,173.3
10/1/18,180.3
11/1/18,177.7
12/1/18,174.9
1/1/19,174.9
2/1/19,175.1
3/1/19,184.4
4/1/19,181.8
5/1/19,181.8
6/1/19,176.7
7/1/19,187.4
8/1/19,175.9
9/1/19,185.6
10/1/19,196.3
11/1/19,208.8
12/1/19,216.8
1/1/20,207.4
2/1/20,190.2
3/1/20,176.9
4/1/20,180.1
5/1/20,180.2
6/1/20,187.8
7/1/20,194.4
8/1/20,182.6
9/1/20,205.8
10/1/20,205.8
11/1/20,193.4
12/1/20,192.6
1/1/21,192.7
2/1/21,191.4
3/1/21,183.7
4/1/21,196.9
5/1/21,206.6
6/1/21,205.3
7/1/21,205.944
8/1/21,188.411
9/1/21,210.331
10/1/21,185.388
11/1/21,196.192
12/1/21,196.49
1/1/22,198.321
2/1/22,252.279
3/1/22,245.88
4/1/22,248.428
5/1/22,247.729
6/1/22,203.358
7/1/22,205.763
8/1/22,185.795
9/1/22,210.453
10/1/22,230.326
11/1/22,252.425
12/1/22,253.73
1/1/23,259.39
2/1/23,
3/1/23,
4/1/23,
5/1/23,
6/1/23,
7/1/23,
8/1/23,
9/1/23,
10/1/23,
11/1/23,
12/1/23,
1/1/24,
2/1/24,
3/1/24,
4/1/24,
5/1/24,
6/1/24,
7/1/24,
8/1/24,
9/1/24,
10/1/24,
11/1/24,
12/1/24,
1/1/25,
2/1/25,
3/1/25,
4/1/25,
5/1/25,
6/1/25,
7/1/25,
8/1/25,
9/1/25,
10/1/25,
11/1/25,
12/1/25,
1/1/26,
2/1/26,
3/1/26,
4/1/26,
5/1/26,
6/1/26,
7/1/26,
8/1/26,
9/1/26,
10/1/26,
11/1/26,
12/1/26,
1/1/27,
2/1/27,
3/1/27,
4/1/27,
5/1/27,
6/1/27,
7/1/27,
8/1/27,
9/1/27,
10/1/27,
11/1/27,
12/1/27,
1/1/28,
2/1/28,
3/1/28,
4/1/28,
5/1/28,
6/1/28,
7/1/28,
8/1/28,
9/1/28,
10/1/28,
11/1/28,
12/1/28,
1/1/29,
2/1/29,
3/1/29,
4/1/29,
5/1/29,
6/1/29,
7/1/29,
8/1/29,
9/1/29,
10/1/29,
11/1/29,
12/1/29,
1/1/30,
2/1/30,
3/1/30,
