distance_from_home,median_dwell,raw_visitor_counts
5.9,6,4.301471777020249
5.9,6.1000000000000005,4.264577547855473
5.9,6.2,4.227683318690698
5.9,6.300000000000001,4.190789089525921
5.9,6.4,4.153894860361146
5.9,6.5,4.11700063119637
5.9,6.6000000000000005,4.080106402031594
5.9,6.7,4.043212172866818
5.9,6.800000000000001,4.006317943702042
5.9,6.9,3.969423714537266
5.9,7,3.9325294853724904
6,1,6.118614991433333
6,1.1,6.0817207622685565
6,1.2,6.044826533103781
6,1.3,6.007932303939005
6,1.4,5.971038074774229
6,1.5,5.934143845609453
6,1.6,5.897249616444677
6,1.7000000000000002,5.860355387279902
6,1.8,5.823461158115125
6,1.9,5.786566928950349
6,2,5.749672699785574
6,2.1,5.712778470620798
6,2.2,5.675884241456021
6,2.3,5.638990012291246
6,2.4000000000000004,5.60209578312647
6,2.5,5.565201553961694
6,2.6,5.528307324796918
6,2.7,5.491413095632142
6,2.8,5.4545188664673665
6,2.9000000000000004,5.41762463730259
6,3,5.380730408137815
6,3.1,5.343836178973039
6,3.2,5.306941949808262
6,3.3000000000000003,5.270047720643487
6,3.4000000000000004,5.233153491478711
6,3.5,5.196259262313935
6,3.6,5.159365033149159
6,3.7,5.122470803984383
6,3.8000000000000003,5.085576574819608
6,3.9000000000000004,5.048682345654831
6,4,5.011788116490056
6,4.1,4.97489388732528
6,4.2,4.9379996581605035
6,4.300000000000001,4.901105428995727
6,4.4,4.864211199830952
6,4.5,4.827316970666176
6,4.6,4.7904227415014
6,4.7,4.753528512336624
6,4.800000000000001,4.716634283171848
6,4.9,4.679740054007072
6,5,4.642845824842296
6,5.1000000000000005,4.605951595677521
6,5.2,4.5690573665127445
6,5.3,4.532163137347969
6,5.4,4.495268908183193
6,5.5,4.458374679018417
6,5.6000000000000005,4.42148044985364
6,5.7,4.384586220688865
6,5.800000000000001,4.347691991524089
6,5.9,4.3107977623593134
6,6,4.273903533194537
6,6.1000000000000005,4.237009304029761
6,6.2,4.200115074864986
6,6.300000000000001,4.163220845700209
6,6.4,4.126326616535434
6,6.5,4.089432387370658
6,6.6000000000000005,4.0525381582058815
6,6.7,4.015643929041106
6,6.800000000000001,3.97874969987633
6,6.9,3.941855470711554
6,7,3.9049612415467783
6.1,1,6.0910467476076215
6.1,1.1,6.054152518442845
6.1,1.2,6.01725828927807
6.1,1.3,5.980364060113294
6.1,1.4,5.943469830948517
6.1,1.5,5.906575601783742
6.1,1.6,5.869681372618966
6.1,1.7000000000000002,5.8327871434541905
6.1,1.8,5.795892914289414
6.1,1.9,5.758998685124638
6.1,2,5.722104455959863
6.1,2.1,5.685210226795086
6.1,2.2,5.64831599763031
6.1,2.3,5.611421768465535
6.1,2.4000000000000004,5.5745275393007585
6.1,2.5,5.537633310135983
6.1,2.6,5.500739080971207
6.1,2.7,5.463844851806431
6.1,2.8,5.426950622641655
6.1,2.9000000000000004,5.390056393476879
6.1,3,5.353162164312104
6.1,3.1,5.316267935147327
6.1,3.2,5.279373705982551
6.1,3.3000000000000003,5.242479476817776
6.1,3.4000000000000004,5.205585247653
6.1,3.5,5.168691018488224
6.1,3.6,5.131796789323448
6.1,3.7,5.094902560158672
6.1,3.8000000000000003,5.058008330993896
6.1,3.9000000000000004,5.02111410182912
6.1,4,4.984219872664344
6.1,4.1,4.9473256434995685
6.1,4.2,4.910431414334792
6.1,4.300000000000001,4.873537185170016
6.1,4.4,4.836642956005241
6.1,4.5,4.799748726840464
6.1,4.6,4.762854497675689
6.1,4.7,4.725960268510913
6.1,4.800000000000001,4.6890660393461365
6.1,4.9,4.652171810181361
6.1,5,4.615277581016585
6.1,5.1000000000000005,4.57838335185181
6.1,5.2,4.541489122687033
6.1,5.3,4.504594893522258
6.1,5.4,4.467700664357482
6.1,5.5,4.4308064351927055
6.1,5.6000000000000005,4.393912206027929
6.1,5.7,4.357017976863154
6.1,5.800000000000001,4.320123747698378
6.1,5.9,4.283229518533602
6.1,6,4.246335289368826
6.1,6.1000000000000005,4.20944106020405
6.1,6.2,4.172546831039274
6.1,6.300000000000001,4.135652601874498
6.1,6.4,4.098758372709723
6.1,6.5,4.0618641435449465
6.1,6.6000000000000005,4.02496991438017
6.1,6.7,3.988075685215395
6.1,6.800000000000001,3.9511814560506187
6.1,6.9,3.914287226885843
6.1,7,3.877392997721067
6.2,1,6.0634785037819094
6.2,1.1,6.026584274617133
6.2,1.2,5.989690045452358
6.2,1.3,5.952795816287582
6.2,1.4,5.915901587122805
6.2,1.5,5.87900735795803
6.2,1.6,5.842113128793254
6.2,1.7000000000000002,5.805218899628478
6.2,1.8,5.768324670463702
6.2,1.9,5.731430441298926
6.2,2,5.6945362121341505
6.2,2.1,5.657641982969374
6.2,2.2,5.620747753804598
6.2,2.3,5.583853524639823
6.2,2.4000000000000004,5.546959295475046
6.2,2.5,5.510065066310271
6.2,2.6,5.473170837145495
6.2,2.7,5.4362766079807185
6.2,2.8,5.399382378815943
6.2,2.9000000000000004,5.362488149651167
6.2,3,5.325593920486392
6.2,3.1,5.288699691321615
6.2,3.2,5.251805462156839
6.2,3.3000000000000003,5.214911232992064
6.2,3.4000000000000004,5.1780170038272875
6.2,3.5,5.141122774662512
6.2,3.6,5.104228545497736
6.2,3.7,5.06733431633296
6.2,3.8000000000000003,5.030440087168184
6.2,3.9000000000000004,4.993545858003408
6.2,4,4.956651628838632
6.2,4.1,4.919757399673856
6.2,4.2,4.88286317050908
6.2,4.300000000000001,4.845968941344304
6.2,4.4,4.8090747121795285
6.2,4.5,4.772180483014752
6.2,4.6,4.735286253849977
6.2,4.7,4.698392024685201
6.2,4.800000000000001,4.661497795520424
6.2,4.9,4.624603566355649
6.2,5,4.587709337190873
6.2,5.1000000000000005,4.5508151080260975
6.2,5.2,4.513920878861321
6.2,5.3,4.477026649696546
6.2,5.4,4.44013242053177
6.2,5.5,4.403238191366993
6.2,5.6000000000000005,4.366343962202217
6.2,5.7,4.329449733037442
6.2,5.800000000000001,4.2925555038726655
6.2,5.9,4.25566127470789
6.2,6,4.218767045543114
6.2,6.1000000000000005,4.181872816378338
6.2,6.2,4.144978587213562
6.2,6.300000000000001,4.108084358048786
6.2,6.4,4.071190128884011
6.2,6.5,4.034295899719234
