rent,hhincome,foodstmp,state_fip,county_fip,pernum
0,11800,0,04,04001,424
0,21000,0,04,04001,425
0,9999999,0,04,04001,426
710,30100,1,04,04001,427
0,9700,1,04,04001,428
350,9999999,0,04,04001,429
0,9999999,0,04,04001,430
0,9999999,0,04,04001,431
0,9999999,0,04,04001,432
0,9999999,0,04,04001,433
0,200,1,04,04001,434
0,9999999,0,04,04001,435
0,61200,0,04,04001,436
0,93600,1,04,04001,437
0,8000,0,04,04001,438
0,9999999,0,04,04001,439
0,9999999,0,04,04001,440
0,9999999,0,04,04001,441
0,9999999,0,04,04001,442
40,12900,0,04,04001,443
200,61000,0,04,04001,444
0,9999999,0,04,04001,445
0,66000,0,04,04001,446
0,9999999,0,04,04001,447
0,27000,0,04,04001,448
0,47900,0,04,04001,449
140,47500,1,04,04001,450
0,10300,0,04,04001,451
0,19530,0,04,04001,452
0,31500,0,04,04001,453
0,9999999,0,04,04001,454
0,47200,0,04,04001,455
0,9999999,0,04,04001,456
0,0,0,04,04001,457
0,50800,0,04,04001,458
0,9999999,0,04,04001,459
0,13900,0,04,04001,460
0,13000,0,04,04001,461
0,9999999,0,04,04001,462
0,9999999,0,04,04001,463
0,87000,0,04,04001,464
0,8500,0,04,04001,465
0,8600,1,04,04001,466
0,18010,0,04,04001,467
0,0,0,04,04001,468
0,14000,0,04,04001,469
0,9999999,0,04,04001,470
0,9999999,0,04,04001,471
0,9999999,0,04,04001,472
0,130000,0,04,04001,473
0,9999999,0,04,04001,474
1200,24000,1,04,04001,475
0,13600,0,04,04001,476
0,9999999,0,04,04001,477
0,15600,0,04,04001,478
0,9999999,0,04,04001,479
0,34430,0,04,04001,480
0,9999999,0,04,04001,481
0,58000,0,04,04001,482
0,9999999,0,04,04001,483
0,9999999,0,04,04001,484
0,16500,0,04,04001,485
0,0,1,04,04001,486
0,55800,0,04,04001,487
0,17370,0,04,04001,488
850,192000,1,04,04001,489
0,0,1,04,04001,490
0,32400,0,04,04001,491
0,9999999,0,04,04001,492
0,9999999,0,04,04001,493
0,9999999,0,04,04001,494
0,9999999,0,04,04001,495
0,54700,0,04,04001,496
0,87900,1,04,04001,497
0,0,1,04,04001,498
0,9999999,0,04,04001,499
0,9999999,0,04,04001,500
0,9999999,0,04,04001,501
0,13000,0,04,04001,502
0,9999999,0,04,04001,503
0,9999999,0,04,04001,504
0,20200,1,04,04001,505
0,20000,1,04,04001,506
0,9400,0,04,04001,507
400,120600,0,04,04001,508
0,9999999,0,04,04001,509
0,0,1,04,04001,510
0,24100,0,04,04001,511
0,29000,0,04,04001,512
0,2600,0,04,04001,513
0,9999999,0,04,04001,514
0,47200,0,04,04001,515
0,29300,1,04,04001,516
0,50250,0,04,04001,517
0,77600,0,04,04001,518
0,9999999,0,04,04001,519
0,9999999,0,04,04001,520
0,9999999,0,04,04001,521
0,9999999,0,04,04001,522
0,36300,0,04,04001,523
0,9999999,0,04,04001,524
0,9999999,0,04,04001,525
0,9999999,0,04,04001,526
0,175000,0,04,04001,527
0,9999999,0,04,04001,528
0,9999999,0,04,04001,529
0,0,1,04,04001,530
0,22800,1,04,04001,531
0,59000,1,04,04001,532
300,50000,1,04,04001,533
0,9999999,0,04,04001,534
0,26700,0,04,04001,535
0,9999999,0,04,04001,536
0,9999999,0,04,04001,537
750,74100,0,04,04001,538
500,37500,0,04,04001,539
0,9999999,0,04,04001,540
0,9999999,0,04,04001,541
0,79000,0,04,04001,542
0,9999999,0,04,04001,543
0,48500,1,04,04001,544
0,20300,0,04,04001,545
0,9999999,0,04,04001,546
0,480,1,04,04001,547
4200,9999999,0,04,04001,548
0,28000,1,04,04001,549
0,8900,1,04,04001,550
0,9999999,0,04,04001,551
0,60800,1,04,04001,552
0,115200,0,04,04001,553
950,44540,0,04,04001,554
0,9999999,0,04,04001,555
0,9999999,0,04,04001,556
0,9999999,0,04,04001,557
0,87400,0,04,04001,558
0,0,0,04,04001,559
0,9999999,0,04,04001,560
0,71420,0,04,04001,561
0,19400,1,04,04001,562
0,9999999,0,04,04001,563
0,98000,0,04,04001,564
0,9999999,0,04,04001,565
0,69600,0,04,04001,566
0,9999999,0,04,04001,567
0,62300,0,04,04001,568
0,20000,0,04,04001,569
80,9900,1,04,04001,570
0,20200,0,04,04001,571
0,9999999,0,04,04001,572
0,9999999,0,04,04001,573
0,28900,0,04,04001,574
0,25000,0,04,04001,575
0,9999999,0,04,04001,576
0,12000,1,04,04001,577
0,79400,0,04,04001,578
0,9999999,0,04,04001,579
0,8900,1,04,04001,580
0,4000,1,04,04001,581
0,9999999,0,04,04001,582
0,10200,1,04,04001,583
0,0,0,04,04001,584
0,9600,0,04,04001,585
0,70800,1,04,04001,586
0,9400,1,04,04001,587
0,158400,0,04,04001,588
0,9999999,0,04,04001,589
0,9999999,1,04,04001,590
900,50600,0,04,04001,591
0,0,0,04,04001,592
610,38000,0,04,04001,593
0,9999999,0,04,04001,594
0,9999999,0,04,04001,595
0,0,0,04,04001,596
0,27900,0,04,04001,597
0,13800,0,04,04001,598
0,9999999,0,04,04001,599
450,9800,0,04,04001,600
0,9999999,0,04,04001,601
0,17000,1,04,04001,602
470,50000,0,04,04001,603
0,105000,1,04,04001,604
0,6000,0,04,04001,605
0,31700,0,04,04001,606
0,107100,0,04,04001,607
0,9999999,0,04,04001,608
0,48300,0,04,04001,609
600,20000,0,04,04001,610
0,68000,0,04,04001,611
0,9999999,0,04,04001,612
0,120000,0,04,04001,613
0,9999999,0,04,04001,614
550,87000,0,04,04001,615
0,9999999,0,04,04001,616
0,9999999,0,04,04001,617
0,9999999,0,04,04001,618
100,9960,1,04,04001,619
0,70400,0,04,04001,620
0,0,0,04,04001,621
0,110000,0,04,04001,622
0,9999999,0,04,04001,623
0,9999999,0,04,04001,624
0,27750,0,04,04001,625
0,60400,0,04,04001,626
0,0,1,04,04001,627
0,9999999,0,04,04001,628
0,9999999,0,04,04001,629
0,9999999,0,04,04001,630
0,9999999,0,04,04001,631
0,96000,1,04,04001,632
310,25500,1,04,04001,633
0,24000,0,04,04001,634
0,120000,0,04,04001,635
0,9999999,0,04,04001,636
0,9999999,0,04,04001,637
0,80000,0,04,04001,638
0,9999999,0,04,04001,639
0,50000,0,04,04001,640
0,9999999,0,04,04001,641
0,20000,1,04,04001,642
0,34600,0,04,04001,643
0,9999999,0,04,04001,644
0,9999999,0,04,04001,645
400,69000,0,04,04001,646
0,581000,0,04,04001,647
50,9400,1,04,04001,648
0,65000,0,04,04001,649
0,9999999,0,04,04001,650
0,9999999,0,04,04001,651
0,22800,0,04,04001,652
50,53000,0,04,04001,653
0,22600,0,04,04001,654
930,74000,0,04,04001,655
0,85600,1,04,04001,656
0,9999999,0,04,04001,657
0,9999999,0,04,04001,658
0,111300,0,04,04001,659
0,58900,0,04,04001,660
0,22800,0,04,04001,661
0,9999999,0,04,04001,662
0,16650,1,04,04001,663
0,9999999,0,04,04001,664
0,82000,1,04,04001,665
0,9000,0,04,04001,666
0,9999999,0,04,04001,667
0,40800,0,04,04001,668
0,9999999,0,04,04001,669
0,106000,0,04,04001,670
0,3900,1,04,04001,671
0,25200,0,04,04001,672
0,9999999,0,04,04001,673
650,4900,1,04,04001,674
0,9999999,0,04,04001,675
0,0,1,04,04001,676
0,9999999,0,04,04001,677
0,0,1,04,04001,678
0,171000,0,04,04001,679
0,9999999,0,04,04001,680
0,9999999,0,04,04001,681
0,9999999,0,04,04001,682
0,17000,0,04,04001,683
0,84300,1,04,04001,684
0,101300,0,04,04001,685
0,9500,1,04,04001,686
0,9999999,0,04,04001,687
0,186400,0,04,04001,688
0,9999999,0,04,04001,689
0,75400,1,04,04001,690
0,9999999,0,04,04001,691
0,9999999,0,04,04001,692
0,24000,0,04,04001,693
0,52400,0,04,04001,694
0,9999999,0,04,04001,695
0,9999999,0,04,04001,696
0,27200,0,04,04001,697
0,9999999,0,04,04001,698
0,9999999,0,04,04001,699
0,17700,1,04,04001,700
0,57200,0,04,04001,701
0,9999999,0,04,04001,702
0,56400,0,04,04001,703
0,9999999,0,04,04001,704
0,17300,1,04,04001,705
0,19700,1,04,04001,706
0,9999999,0,04,04001,707
0,2700,0,04,04001,708
0,9999999,0,04,04001,709
0,9999999,0,04,04001,710
0,9999999,0,04,04001,711
0,70000,0,04,04001,712
0,9999999,0,04,04001,713
0,9999999,0,04,04001,714
400,43990,1,04,04001,715
0,16100,1,04,04001,716
0,9999999,0,04,04001,717
0,31000,0,04,04001,718
0,9999999,0,04,04001,719
0,0,1,04,04001,720
0,42400,0,04,04001,721
0,4800,1,04,04001,722
0,63300,0,04,04001,723
0,9999999,0,04,04001,724
0,9999999,0,04,04001,725
0,94840,0,04,04001,726
0,65300,0,04,04001,727
420,80300,0,04,04001,728
0,9999999,0,04,04001,729
0,9999999,0,04,04001,730
0,32000,0,04,04001,731
0,9999999,0,04,04001,732
0,1000,0,04,04001,733
0,9999999,0,04,04001,734
0,9999999,0,04,04001,735
0,9999999,0,04,04001,736
0,9999999,0,04,04001,737
0,9999999,0,04,04001,738
0,69000,0,04,04001,739
0,9999999,0,04,04001,740
0,45000,0,04,04001,741
0,136700,0,04,04001,742
0,9999999,0,04,04001,743
0,9999999,0,04,04001,744
0,9999999,0,04,04001,745
0,102300,0,04,04001,746
0,9999999,0,04,04001,747
0,15800,0,04,04001,748
450,58000,0,04,04001,749
0,31000,0,04,04001,750
0,9999999,0,04,04001,751
0,50000,1,04,04001,752
0,29400,0,04,04001,753
0,9999999,0,04,04001,754
450,40200,0,04,04001,755
0,57600,0,04,04001,756
0,40000,0,04,04001,757
0,9999999,0,04,04001,758
0,9999999,0,04,04001,759
0,9999999,0,04,04001,760
0,22000,0,04,04001,761
0,38600,0,04,04001,762
100,26400,1,04,04001,763
0,9999999,0,04,04001,764
0,9999999,0,04,04001,765
0,72000,0,04,04001,766
0,93000,0,04,04001,767
0,9999999,0,04,04001,768
400,30000,0,04,04001,769
0,23800,0,04,04001,770
0,9999999,0,04,04001,771
0,15500,1,04,04001,772
0,9999999,0,04,04001,773
0,9999999,0,04,04001,774
0,9999999,0,04,04001,775
0,218800,0,04,04001,776
0,94400,0,04,04001,777
0,12800,1,04,04001,778
0,0,0,04,04001,779
0,9999999,0,04,04001,780
0,2200,1,04,04001,781
0,1000,0,04,04001,782
0,9999999,0,04,04001,783
0,38000,1,04,04001,784
0,13500,0,04,04001,785
0,9999999,0,04,04001,786
0,51700,0,04,04001,787
0,52000,0,04,04001,788
730,42000,0,04,04001,789
0,9999999,0,04,04001,790
0,57700,0,04,04001,791
0,23000,0,04,04001,792
0,43200,0,04,04001,793
0,9999999,0,04,04001,794
0,0,1,04,04001,795
