placekey,raw_visitor_counts,distance_from_home,median_dwell,cluster,location_name,top_category,sub_category,latitude,longitude,city,region,pred_sub_category
zzy-222@8ts-x27-gzf,5.676753802268282,8.685077700412423,2.772588722239781,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.420341,-110.81676,Globe,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-222@8ts-3h6-j5f,4.736198448394496,8.261784679514752,4.07753744390572,3,Value Veggies,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.207302,-110.87035,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8ts-3mc-v75,6.220590170099739,9.679280936368654,1.9459101490553132,2,Circle K,Grocery Stores,Convenience Stores,32.22139,-110.97932,Tucson,AZ,Convenience Stores
zzw-222@8ts-zt3-hnq,7.01211529430638,8.360539381370861,2.9444389791664403,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.217388,-111.8257,Chandler,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-226@8ts-zb7-h89,3.4657359027997265,8.94754601503218,1.791759469228055,2,Fast Market,Grocery Stores,Convenience Stores,33.307415,-111.75475,Gilbert,AZ,Convenience Stores
zzw-222@8ts-d62-jsq,4.07753744390572,7.821242083523558,1.9459101490553132,1,Carniceria Mana,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.423477,-112.23681,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
226-222@8ts-3pt-rzf,3.4339872044851463,8.916774356365426,3.6375861597263857,3,United Food & Commercial Workers Un Local 99 Tucsn,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.210072,-110.90926,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-223@8th-8x8-kmk,5.981414211254481,10.451319901931214,2.6390573296152584,2,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.130489,-109.28963,Springerville,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-223@8tr-zdr-4jv,5.58724865840025,8.448057452581375,1.9459101490553132,1,Super Stop 401,Grocery Stores,Convenience Stores,32.428944,-111.30487,Avra Valley,AZ,Convenience Stores
zzw-223@5zb-xgv-47q,6.068425588244111,8.128290171607052,2.772588722239781,1,Albertsons,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.639561,-112.25204,Peoria,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-wv5-xbk,4.143134726391533,7.7651449029361315,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,33.683201,-112.13403,Phoenix,AZ,Convenience Stores
zzw-222@8ts-zhb-3bk,4.060443010546419,8.975756630519417,2.995732273553991,3,Circle K,Grocery Stores,Convenience Stores,33.377766,-111.95491,Tempe,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzy-222@8ts-3py-r49,6.052089168924417,9.371778717853713,3.1354942159291497,2,Davis Monthan Commissary,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.18655,-110.87667,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
224-222@8ts-3mq-qcq,5.241747015059643,9.097619501912064,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,32.271866,-111.00314,Tucson,AZ,Convenience Stores
