placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,raw_visit_counts,raw_visitor_counts,distance_from_home,median_dwell,device_type,year,month
zzw-223@8ts-zg2-3nq,Circle K,Grocery Stores,Convenience Stores,445120,33.48811,-111.98659,4402 E Osborn Rd,Phoenix,AZ,85018,383,270,4260,6,"{""android"":105,""ios"":164}",2021,9
zzw-222@5zb-xjy-2kz,Total Wine & More,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,33.579575,-111.92766,10320 N Scottsdale Rd Ste 110,Scottsdale,AZ,85253,200,176,8931,10,"{""android"":88,""ios"":88}",2021,9
22k-223@8tg-hvm-sh5,Sunnyside Market,Specialty Food Stores,Fruit and Vegetable Markets,445230,35.211964,-111.6129,2532 E 7th Ave,Flagstaff,AZ,86004,230,110,9107,21,"{""android"":63,""ios"":46}",2021,9
223-222@8th-j3f-hwk,Spirits & Spice,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,34.861694,-111.76318,336 State Route 179 Ste C102,Sedona,AZ,86336,2,2,,7.5,"{""android"":0,""ios"":9}",2021,9
zzw-223@5zb-xgq-h89,Circle K,Grocery Stores,Convenience Stores,445120,33.581631,-112.16846,5049 W Peoria Ave,Glendale,AZ,85302,228,192,3189,7,"{""android"":113,""ios"":84}",2021,9
zzw-222@5zb-xdk-q9f,Watermill Express,Specialty Food Stores,All Other Specialty Food Stores,445299,33.480766,-112.15292,4310 W Thomas Rd,Phoenix,AZ,85031,45,41,6188,8,"{""android"":16,""ios"":22}",2021,9
222-223@5zb-x3r-h89,Sprouts Farmers Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.798294,-111.96588,5355 E Carefree Hwy Ste A,Cave Creek,AZ,85331,8,8,4912,10.5,"{""android"":0,""ios"":6}",2021,9
223-224@8ts-zyd-mkz,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.321602,-111.93014,9900 S Rural Rd,Tempe,AZ,85284,1237,758,3053,11,"{""android"":364,""ios"":393}",2021,9
226-222@8ts-x27-h89,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.418278,-110.81706,2116 E Highway 60,Miami,AZ,85539,261,170,5509,10,"{""android"":119,""ios"":50}",2021,9
229-222@8ts-yf4-jjv,Carniceria Mi Torito,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.973892,-111.52425,470 S Arizona Blvd,Coolidge,AZ,85128,153,104,1864,6,"{""android"":51,""ios"":48}",2021,9
225-224@5zb-xjy-pvz,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.584209,-111.92438,10773 N Scottsdale Rd,Scottsdale,AZ,85254,333,256,3862,12,"{""android"":94,""ios"":159}",2021,9
224-222@8ts-3mz-tqf,Gus's Liquor Store II,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,32.250179,-110.90083,4302 E Grant Rd,Tucson,AZ,85712,89,22,4169,170,"{""android"":20,""ios"":4}",2021,9
223-222@8ts-3mk-t9z,ampm,Grocery Stores,Convenience Stores,445120,32.294964,-111.02648,2790 W Ruthrauff Rd,Flowing Wells,AZ,85705,32,9,17628,19.5,"{""android"":7,""ios"":0}",2021,9
223-224@5zb-x54-qvf,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.69997,-111.923,23565 N Scottsdale Rd,Scottsdale,AZ,85255,573,392,7098,16,"{""android"":144,""ios"":246}",2021,9
222-222@8ts-3pw-5j9,Circle K,Grocery Stores,Convenience Stores,445120,32.166374,-110.91833,4650 S Palo Verde Rd,Tucson,AZ,85714,472,354,8833,6,"{""android"":232,""ios"":119}",2021,9
zzw-222@5z9-sqt-75z,Gayles Chocolate,Specialty Food Stores,Confectionery and Nut Stores,445292,34.743965,-112.01139,541 N Main St,Cottonwood,AZ,86326,91,46,9332,39,"{""android"":23,""ios"":21}",2021,9
zzy-222@8ts-d6d-gzf,Watermill Express,Specialty Food Stores,All Other Specialty Food Stores,445299,33.493988,-112.24022,8419 W Indian School Rd,Phoenix,AZ,85037,67,56,1512,7,"{""android"":34,""ios"":20}",2021,9
227-222@5zb-xbp-pvz,Circle K,Grocery Stores,Convenience Stores,445120,33.552814,-112.12605,3101 W Northern Ave,Phoenix,AZ,85051,398,275,2905,7,"{""android"":171,""ios"":101}",2021,9
222-222@5zb-8zb-v9f,Vicksburg Swap Meet,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.743473,-113.75224,40725 Vicksburg Rd,Vicksburg,AZ,85348,6,6,,8.5,"{""android"":4,""ios"":4}",2021,9
zzw-222@5zb-wtx-975,Circle K,Grocery Stores,Convenience Stores,445120,33.712166,-112.13572,24838 N 35th Ave,Glendale,AZ,85310,142,81,3884,10,"{""android"":60,""ios"":20}",2021,9
22c-222@5zb-xdb-g6k,Phoenix Ashes,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.505363,-112.208,6949 W Wolf St,Phoenix,AZ,85033,37,22,8861,60,"{""android"":14,""ios"":9}",2021,9
223-222@8ts-zhz-j7q,Circle K,Grocery Stores,Convenience Stores,445120,33.363682,-111.87728,2808 S Dobson Rd,Mesa,AZ,85202,303,252,3940,6,"{""android"":131,""ios"":119}",2021,9
zzw-222@8tt-vcr-qvf,Red Mountain Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,31.539673,-110.75597,376 Naugle Ave,Patagonia,AZ,85624,15,15,40077,16,"{""android"":11,""ios"":4}",2021,9
zzw-222@5zb-wx4-pjv,7th Street Hotspot Cafe and Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.634972,-112.06673,16220 N 7th St,Phoenix,AZ,85022,391,135,7645,43,"{""android"":86,""ios"":46}",2021,9
zzw-224@8tt-q4n-sh5,Circle K,Grocery Stores,Convenience Stores,445120,31.967758,-110.29588,201 E 4th St,Benson,AZ,85602,207,128,35405,7,"{""android"":76,""ios"":51}",2021,9
zzw-224@8tt-q4p-89z,Walmart Supercenter,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,31.96866,-110.31429,201 S Prickly Pear Ave,Benson,AZ,85602,2332,900,45044,22,"{""android"":604,""ios"":296}",2021,9
223-222@8ts-3mt-kmk,Circle K,Grocery Stores,Convenience Stores,445120,32.272289,-110.97743,3602 N Oracle Rd,Tucson,AZ,85705,374,234,7889,23,"{""android"":139,""ios"":97}",2021,9
223-222@5zb-wx6-yqf,Circle K,Grocery Stores,Convenience Stores,445120,33.63995,-112.04766,1605 E Bell Rd,Phoenix,AZ,85022,496,237,2780,7,"{""android"":129,""ios"":105}",2021,9
226-222@8ts-3pc-grk,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,32.228477,-110.99188,1231 W Saint Marys Rd,Tucson,AZ,85745,92,68,4641,10,"{""android"":48,""ios"":17}",2021,9
222-223@5z9-dpy-x89,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,35.191322,-114.06435,525 W Beale St,Kingman,AZ,86401,607,471,160850,9,"{""android"":259,""ios"":211}",2021,9
227-222@5zb-xcp-kmk,Circle K,Grocery Stores,Convenience Stores,445120,33.553467,-112.1044,2120 W Northern Ave,Phoenix,AZ,85021,745,524,5645,7,"{""android"":321,""ios"":203}",2021,9
zzw-223@8ts-zjt-vpv,Superstition Ranch Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.415771,-111.58432,7 N 114th St,Apache Junction,AZ,85120,45,36,8305,22,"{""android"":31,""ios"":5}",2021,9
